,name,last_name,first_name,Team,Average,Price,Pos,id
263,Pablo Zabaleta,Zabaleta,Pablo,WHU,0.2,4.2,D,379
264,Ryan Fredericks,Fredericks,Ryan,WHU,1.8,4.4,D,380
265,Issa Diop,Diop,Issa,WHU,2.1,4.3,D,381
266,Fabian Balbuena,Balbuena,Fabian,WHU,0.8,4.3,D,382
267,Winston Reid,Reid,Winston,WHU,0.0,4.0,D,383
268,Ben Johnson,Johnson,Ben,WHU,0.0,3.9,D,384
269,Jeremy Ngakia,Ngakia,Jeremy,WHU,0.1,4.0,D,593
270,Cardoso,Cardoso,,WHU,0.0,4.0,D,594
271,Matt Doherty,Doherty,Matt,WOL,5.0,6.2,D,401
272,Jonny,Jonny,,WOL,2.1,5.4,D,386
273,Conor Coady,Coady,Conor,WOL,2.5,5.0,D,403
274,Willy Boly,Boly,Willy,WOL,1.4,4.8,D,405
275,Vinagre,Vinagre,,WOL,0.3,4.2,D,406
276,Romain Saiss,Saiss,Romain,WOL,2.5,4.5,D,407
277,Max Kilman,Kilman,Max,WOL,0.1,4.0,D,408
278,Vallejo,Vallejo,,WOL,0.0,4.6,D,473
279,Oskar Buur,Buur,Oskar,WOL,0.0,4.0,D,587
280,Ryan Giles,Giles,Ryan,WOL,0.0,3.9,D,607
281,Mesut Ozil,Ozil,Mesut,ARS,1.0,7.2,M,15
282,Henrikh Mkhitaryan,Mkhitaryan,Henrikh,ARS,0.0,6.8,M,16
283,Granit Xhaka,Xhaka,Granit,ARS,1.3,5.1,M,18
284,Lucas Torreira,Torreira,Lucas,ARS,0.5,4.7,M,19
285,Mohamed Elneny,Elneny,Mohamed,ARS,0.0,4.3,M,20
286,Matteo Guendouzi,Guendouzi,Matteo,ARS,1.2,4.3,M,21
287,Ceballos,Ceballos,,ARS,0.6,5.2,M,469
288,Nicolas Pepe,Pepe,Nicolas,ARS,3.3,9.2,M,488
289,Reiss Nelson,Nelson,Reiss,ARS,0.3,5.3,M,489
290,Joseph Willock,Willock,Joseph,ARS,0.4,4.7,M,490
291,Bukayo Saka,Saka,Bukayo,ARS,0.8,4.6,M,541
292,Emile Smith Rowe,Smith Rowe,Emile,ARS,0.0,4.3,M,576
293,Conor Hourihane,Hourihane,Conor,AVL,1.1,5.7,M,28
294,Jack Grealish,Grealish,Jack,AVL,4.2,6.6,M,29
295,Anwar El Ghazi,El Ghazi,Anwar,AVL,2.5,5.5,M,30
296,John McGinn,McGinn,John,AVL,2.5,5.4,M,31
297,Andre Green,Green,Andre,AVL,0.0,4.8,M,32
298,Birkir Bjarnason,Bjarnason,Birkir,AVL,0.0,4.5,M,33
299,Keinan Davis,Davis,Keinan,AVL,0.2,4.3,M,34
300,Henri Lansbury,Lansbury,Henri,AVL,0.2,4.4,M,35
301,Jota,Jota,,AVL,0.3,5.8,M,152
302,Daniel Drinkwater,Drinkwater,Daniel,AVL,0.1,4.4,M,120
303,Trezeguet,Trezeguet,,AVL,1.4,5.2,M,422
304,Douglas Luiz,Douglas Luiz,,AVL,2.0,4.4,M,470
305,Marvelous Nakamba,Nakamba,Marvelous,AVL,0.6,4.4,M,491
306,Indiana Vassilev,Vassilev,Indiana,AVL,0.0,4.5,M,600
307,Ryan Fraser,Fraser,Ryan,BOU,1.9,6.8,M,75
308,David Brooks,Brooks,David,BOU,0.0,6.2,M,76
309,Junior Stanislas,Stanislas,Junior,BOU,0.1,5.9,M,77
310,Jordon Ibe,Ibe,Jordon,BOU,0.0,4.6,M,78
311,Lewis Cook,Lewis Cook,,BOU,0.5,5.0,M,79
312,Andrew Surman,Surman,Andrew,BOU,0.1,4.7,M,80
313,Dan Gosling,Gosling,Dan,BOU,0.8,4.9,M,81
314,Jefferson Lerma,Lerma,Jefferson,BOU,1.2,4.8,M,82
315,Philip Billing,Billing,Philip,BOU,1.5,5.0,M,476
316,Danjuma,Danjuma,,BOU,0.2,5.8,M,492
317,Harry Wilson,Harry Wilson,,BOU,3.1,5.8,M,505
318,Christian Saydee,Saydee,Christian,BOU,0.0,4.5,M,564
319,Gavin Kilkenny,Kilkenny,Gavin,BOU,0.0,4.5,M,565
320,Mihai-Alexandru Dobre,Dobre,Mihai-Alexandru,BOU,0.0,4.5,M,574
321,Pascal Gross,Gross,Pascal,BHA,2.4,6.3,M,49
322,Alireza Jahanbakhsh,Jahanbakhsh,Alireza,BHA,0.4,5.8,M,50
323,Izquierdo,Izquierdo,,BHA,0.0,5.4,M,51
324,Anthony Knockaert,Knockaert,Anthony,BHA,0.0,5.4,M,52
325,Yves Bissouma,Bissouma,Yves,BHA,0.3,5.0,M,53
326,Davy Propper,Propper,Davy,BHA,1.6,4.8,M,54
327,Solomon March,March,Solomon,BHA,0.5,4.6,M,55
328,Beram Kayal,Kayal,Beram,BHA,0.0,4.3,M,56
329,Dale Stephens,Stephens,Dale,BHA,1.2,4.4,M,57
330,Leandro Trossard,Trossard,Leandro,BHA,1.8,5.8,M,421
331,Aaron Mooy,Mooy,Aaron,BHA,2.2,4.8,M,516
332,Steven Alzate,Alzate,Steven,BHA,0.6,4.5,M,537
333,Alexis Mac Allister,Mac Allister,Alexis,BHA,0.0,5.5,M,0
334,Johann Berg Gudmundsson,Gudmundsson,Johann Berg,BUR,0.2,5.9,M,96
335,Dwight McNeil,McNeil,Dwight,BUR,3.1,6.0,M,97
336,Robbie Brady,Brady,Robbie,BUR,0.5,5.5,M,98
337,Steven Defour,Defour,Steven,BUR,0.0,5.5,M,99
338,Jeff Hendrick,Hendrick,Jeff,BUR,2.4,5.4,M,100
339,Ashley Westwood,Westwood,Ashley,BUR,3.3,5.4,M,101
340,Jack Cork,Cork,Jack,BUR,1.7,4.9,M,102
341,Aaron Lennon,Lennon,Aaron,BUR,0.2,4.6,M,430
342,Mace Goodridge,Goodridge,Mace,BUR,0.0,4.5,M,571
343,Josh Brownhill,Brownhill,Josh,BUR,0.0,4.9,M,620
344,Willian,Willian,,CHE,2.9,7.0,M,113
345,Ledesma Pedro,Pedro,Ledesma,CHE,0.3,6.8,M,577
346,Ruben Loftus-Cheek,Loftus-Cheek,Ruben,CHE,0.0,6.3,M,115
347,Callum Hudson-Odoi,Hudson-Odoi,Callum,CHE,0.5,5.3,M,116
348,Ross Barkley,Barkley,Ross,CHE,0.4,5.6,M,117
349,Jorginho,Jorginho,,CHE,2.0,4.9,M,261
350,N'Golo Kante,Kante,N'Golo,CHE,0.9,5.0,M,119
351,Ethan Ampadu,Ampadu,Ethan,CHE,0.0,4.4,M,121
352,Christian Pulisic,Pulisic,Christian,CHE,1.0,6.9,M,431
353,Mateo Kovacic,Kovacic,Mateo,CHE,1.4,5.3,M,432
354,Kenedy,Kenedy,,CHE,0.0,5.2,M,462
355,Mason Mount,Mount,Mason,CHE,3.4,6.1,M,463
356,Billy Gilmour,Gilmour,Billy,CHE,0.0,4.5,M,533
357,Wilfried Zaha,Zaha,Wilfried,CRY,2.9,6.8,M,133
358,Luka Milivojevic,Milivojevic,Luka,CRY,2.2,6.7,M,134
359,Andros Townsend,Townsend,Andros,CRY,0.6,5.6,M,135
360,Max Meyer,Meyer,Max,CRY,0.3,5.2,M,136
361,Jeffrey Schlupp,Schlupp,Jeffrey,CRY,0.8,5.4,M,137
362,James McArthur,McArthur,James,CRY,2.0,5.2,M,138
363,Cheikhou Kouyate,Kouyate,Cheikhou,CRY,2.1,4.9,M,139
364,Luke Dreher,Dreher,Luke,CRY,0.0,4.3,M,140
365,James McCarthy,McCarthy,James,CRY,0.4,4.3,M,157
366,Victor Camarasa,Camarasa,Victor,CRY,0.0,4.5,M,510
367,Jairo Riedewald,Riedewald,Jairo,CRY,0.3,4.5,M,539
368,Brandon Pierrick,Pierrick,Brandon,CRY,0.0,4.5,M,580
369,Nya Kirby,Kirby,Nya,CRY,0.0,4.5,M,588
370,Giovanni McGregor,McGregor,Giovanni,CRY,0.0,4.5,M,608
371,Alex Iwobi,Iwobi,Alex,EVE,1.3,5.6,M,17
372,Richarlison,Richarlison,,EVE,4.9,8.3,M,150
373,Gylfi Sigurdsson,Sigurdsson,Gylfi,EVE,2.0,7.3,M,151
374,Bernard,Bernard,,EVE,1.4,6.4,M,218
375,Theo Walcott,Walcott,Theo,EVE,1.0,6.2,M,153
376,Tom Davies,Davies,Tom,EVE,1.2,5.3,M,154
377,Ademola Lookman,Lookman,Ademola,EVE,0.0,5.0,M,155
